ring_id,vertex_id,x,y
0,0,0,0
0,1,5,20
0,2,10,0
0,3,15,20
0,4,20,0
0,5,25,20
0,6,30,0
0,7,35,20
0,8,40,0
0,9,45,20
0,10,50,0
0,11,55,20
0,12,60,0
0,13,65,20
0,14,70,0
0,15,75,20
0,16,80,0
0,17,85,20
0,18,90,0
0,19,95,20
0,20,100,0
0,21,105,20
0,22,110,0
0,23,115,20
0,24,120,0
0,25,125,20
0,26,130,0
0,27,135,20
0,28,140,0
0,29,145,20
0,30,150,0
0,31,155,20
0,32,160,0
0,33,165,20
0,34,170,0
0,35,175,20
0,36,180,0
0,37,185,20
0,38,190,0
0,39,195,20
0,40,195,40
0,41,0,40
Total signed area in input: 5.850000e+03
Total signed area in output: 5.850000e+03
Total areal displacement: 0.000000e+00
