# benchmark.cpp results,,,,,,,
# timestamp_utc=2026-04-03T10:02:07Z,,,,,,,
# os=Linux,,,,,,,
# hw_threads=28,,,,,,,
# input_dir=./experimental_cases,,,,,,,
# iters=5, warmup=1, jobs=1,,,,,
# targets=49.00,22,15,7,,,,
Filename,Original_Vertices,Target_Vertices,Target_Percentage,Execution_Time_MS,Peak_Memory_KB,Areal_Displacement,Std_Deviation_MS
./experimental_cases/input_axis_aligned_square.csv,4,2,49,0.017,0,2.00E+02,0.002
./experimental_cases/input_axis_aligned_square.csv,4,1,22,0.016,0,2.00E+02,0.001
./experimental_cases/input_axis_aligned_square.csv,4,1,15,0.015,0,2.00E+02,0.001
./experimental_cases/input_axis_aligned_square.csv,4,1,7,0.015,0,2.00E+02,0.001
./experimental_cases/input_concave_notch_10.csv,10,5,49,0.038,0,9.00E+02,0.002
./experimental_cases/input_concave_notch_10.csv,10,2,22,0.049,0,1.24E+03,0.003
./experimental_cases/input_concave_notch_10.csv,10,2,15,0.051,0,1.24E+03,0.01
./experimental_cases/input_concave_notch_10.csv,10,1,7,0.044,0,1.24E+03,0.005
./experimental_cases/input_dual_hole_narrow_gap.csv,12,6,49,0.027,0,1.65E+03,0.006
./experimental_cases/input_dual_hole_narrow_gap.csv,12,3,22,0.026,0,1.65E+03,0.001
./experimental_cases/input_dual_hole_narrow_gap.csv,12,2,15,0.032,0,1.65E+03,0.014
./experimental_cases/input_dual_hole_narrow_gap.csv,12,1,7,0.032,0,1.65E+03,0.011
./experimental_cases/input_eight_holes_field.csv,28,14,49,0.08,0,5.00E+03,0.005
./experimental_cases/input_eight_holes_field.csv,28,6,22,0.084,0,5.00E+03,0.004
./experimental_cases/input_eight_holes_field.csv,28,4,15,0.098,0,5.00E+03,0.037
./experimental_cases/input_eight_holes_field.csv,28,2,7,0.084,0,5.00E+03,0.005
./experimental_cases/input_four_holes_compact.csv,16,8,49,0.049,0,8.00E+02,0.006
./experimental_cases/input_four_holes_compact.csv,16,4,22,0.053,0,8.00E+02,0.001
./experimental_cases/input_four_holes_compact.csv,16,2,15,0.051,0,8.00E+02,0.003
./experimental_cases/input_four_holes_compact.csv,16,1,7,0.05,0,8.00E+02,0.005
./experimental_cases/input_large_with_hole.csv,8,4,49,0.033,0,5.20E+13,0.002
./experimental_cases/input_large_with_hole.csv,8,2,22,0.035,0,5.20E+13,0
./experimental_cases/input_large_with_hole.csv,8,1,15,0.034,0,5.20E+13,0.002
./experimental_cases/input_large_with_hole.csv,8,1,7,0.032,0,5.20E+13,0.004
./experimental_cases/input_minimal_triangle.csv,3,1,49,0.004,0,0.00E+00,0
./experimental_cases/input_minimal_triangle.csv,3,1,22,0.005,0,0.00E+00,0
./experimental_cases/input_minimal_triangle.csv,3,1,15,0.005,0,0.00E+00,0
./experimental_cases/input_minimal_triangle.csv,3,1,7,0.004,0,0.00E+00,0
./experimental_cases/input_narrow_corridor.csv,8,4,49,0.02,0,6.86E+02,0.01
./experimental_cases/input_narrow_corridor.csv,8,2,22,0.019,0,8.77E+02,0.001
./experimental_cases/input_narrow_corridor.csv,8,1,15,0.017,0,8.77E+02,0.003
./experimental_cases/input_narrow_corridor.csv,8,1,7,0.019,0,8.77E+02,0.001
./experimental_cases/input_near_collinear_large.csv,5,2,49,0.014,0,1.00E+12,0.001
./experimental_cases/input_near_collinear_large.csv,5,1,22,0.018,0,1.00E+12,0.009
./experimental_cases/input_near_collinear_large.csv,5,1,15,0.017,0,1.00E+12,0.006
./experimental_cases/input_near_collinear_large.csv,5,1,7,0.014,0,1.00E+12,0
./experimental_cases/input_negative_coords_mixed.csv,5,2,49,0.011,0,5.40E+02,0
./experimental_cases/input_negative_coords_mixed.csv,5,1,22,0.011,0,5.40E+02,0.001
./experimental_cases/input_negative_coords_mixed.csv,5,1,15,0.011,0,5.40E+02,0
./experimental_cases/input_negative_coords_mixed.csv,5,1,7,0.011,0,5.40E+02,0.001
./experimental_cases/input_offset_large_small.csv,8,4,49,0.031,0,1.02E+06,0.009
./experimental_cases/input_offset_large_small.csv,8,2,22,0.029,0,1.02E+06,0.012
./experimental_cases/input_offset_large_small.csv,8,1,15,0.023,0,1.02E+06,0.001
./experimental_cases/input_offset_large_small.csv,8,1,7,0.022,0,1.02E+06,0.001
./experimental_cases/input_regular128.csv,128,63,49,0.197,0,1.61E+02,0.033
./experimental_cases/input_regular128.csv,128,28,22,0.248,0,9.44E+02,0.02
./experimental_cases/input_regular128.csv,128,19,15,0.277,0,2.34E+03,0.055
./experimental_cases/input_regular128.csv,128,9,7,0.3,0,9.20E+03,0.008
./experimental_cases/input_regular256.csv,256,125,49,0.261,0,5.96E+01,0.02
./experimental_cases/input_regular256.csv,256,56,22,0.43,0,3.34E+02,0.085
